iter	RMSE
0	71133.173
1	64383.42546
2	57606.6508
3	51904.72715
4	46748.46048
5	42629.3582
6	38630.62319
7	35270.16552
8	32655.13323
9	30446.48416
10	28281.69898
11	26156.97462
12	24356.919
13	22541.56756
14	21047.55731
15	19334.48155
16	18403.29803
17	17343.86381
18	16492.52156
19	15702.3791
20	14941.15176
21	14316.34327
22	13717.70679
23	13239.31804
24	12698.65651
25	12221.23892
26	11673.93845
27	11199.23934
28	10837.50466
29	10627.62253
30	10302.71477
31	9850.363068
32	9572.389937
33	9269.350508
34	9102.386302
35	8850.611368
36	8664.670521
37	8431.704495
38	8198.841937
39	8007.760738
40	7877.881978
41	7760.578306
42	7549.808112
43	7377.889752
44	7260.354627
45	7048.750506
46	6895.495015
47	6761.122954
48	6581.520578
49	6282.357253
50	6176.341392
51	6082.064088
52	6024.610912
53	5954.361612
54	5855.366027
55	5699.927648
56	5619.232303
57	5405.210922
58	5284.049647
59	5215.543054
60	5179.568975
61	5058.844485
62	4982.663616
63	4857.168574
64	4830.390581
65	4800.225093
66	4695.728379
67	4671.888782
68	4644.783513
69	4605.860458
70	4584.313046
71	4535.457643
72	4433.547995
73	4411.03277
74	4310.444343
75	4254.009688
76	4232.396805
77	4204.394641
78	4145.701331
79	4126.774053
80	4109.883662
81	4083.437528
82	4053.807202
83	3947.255325
84	3930.274951
85	3870.410474
86	3854.218236
87	3839.102388
88	3814.736247
89	3756.721003
90	3669.632172
91	3654.946481
92	3529.991618
93	3516.535176
94	3497.928707
95	3437.642667
96	3424.672541
97	3384.379641
98	3369.146271
99	3357.7075
100	3345.999158
101	3258.076033
102	3246.779986
103	3217.150464
104	3206.373764
105	3190.071023
106	3180.706764
107	3129.506335
108	3099.539885
109	3058.108068
110	2994.810488
111	2984.149949
112	2974.096812
113	2964.431217
114	2928.15548
115	2854.031707
116	2841.936881
117	2792.522624
118	2738.450128
119	2699.615239
120	2691.598141
121	2643.229286
122	2634.285647
123	2571.838898
124	2560.956858
125	2496.721804
126	2487.075708
127	2438.44857
128	2416.873438
129	2409.073971
130	2367.678105
131	2359.827327
132	2350.526109
133	2300.064539
134	2232.708938
135	2225.02234
136	2217.9664
137	2211.945573
138	2205.300516
139	2198.900138
140	2178.33281
141	2156.380881
142	2146.96494
143	2111.493932
144	2097.881846
145	2091.409555
146	2063.428043
147	2024.27267
148	2004.01716
149	1997.785403
150	1991.767929
151	1955.130711
152	1947.917787
153	1942.170679
154	1934.693369
155	1909.597572
156	1903.964498
157	1898.251293
158	1886.450991
159	1880.444488
160	1874.843302
161	1852.698927
162	1847.256989
163	1836.063055
164	1831.008332
165	1803.230655
166	1782.507678
167	1777.220144
168	1763.498094
169	1758.558286
170	1753.706902
171	1738.060615
172	1706.941824
173	1701.959249
174	1687.325263
175	1682.423325
176	1677.451968
177	1672.549848
178	1667.908551
179	1663.527044
180	1659.217176
181	1654.849281
182	1649.30619
183	1645.113652
184	1640.991322
185	1633.40515
186	1618.696587
187	1614.508931
188	1610.376661
189	1602.419182
190	1598.412914
191	1574.40883
192	1563.245047
193	1544.625657
194	1540.404535
195	1536.465449
196	1518.236594
197	1510.873403
198	1483.601294
199	1479.606928
200	1475.645381
