iter	Passed	Remaining
0	4	2954
1	9	3159
2	13	2904
3	16	2695
4	20	2588
5	23	2555
6	26	2443
7	29	2379
8	32	2312
9	35	2268
10	38	2225
11	40	2144
12	43	2117
13	46	2092
14	49	2075
15	52	2053
16	55	2045
17	57	1993
18	60	1990
19	63	1971
20	66	1962
21	68	1946
22	71	1928
23	73	1891
24	75	1879
25	78	1872
26	81	1863
27	84	1862
28	87	1850
29	89	1830
30	92	1823
31	95	1821
32	97	1815
33	100	1812
34	103	1796
35	105	1779
36	108	1779
37	111	1776
38	114	1775
39	117	1771
40	119	1756
41	122	1755
42	125	1761
43	129	1765
44	132	1764
45	134	1755
46	137	1743
47	140	1745
48	143	1742
49	146	1738
50	148	1733
51	150	1718
52	152	1708
53	155	1703
54	157	1693
55	159	1682
56	162	1675
57	164	1662
58	166	1650
59	168	1644
60	171	1642
61	174	1640
62	177	1637
63	180	1636
64	182	1629
65	185	1625
66	188	1622
67	190	1619
68	193	1616
69	195	1606
70	197	1599
71	200	1591
72	202	1587
73	205	1583
74	207	1579
75	210	1575
76	219	1615
77	221	1613
78	224	1605
79	226	1599
80	228	1593
81	231	1590
82	234	1587
83	237	1585
84	240	1582
85	243	1580
86	245	1577
87	248	1573
88	251	1570
89	254	1569
90	257	1566
91	260	1563
92	262	1560
93	265	1558
94	268	1555
95	271	1552
96	274	1550
97	276	1545
98	279	1542
99	282	1539
100	285	1536
101	288	1534
102	290	1530
103	293	1527
104	296	1524
105	299	1521
106	302	1518
107	305	1518
108	307	1512
109	309	1506
110	312	1502
111	315	1499
112	317	1496
113	320	1493
114	323	1490
115	326	1488
116	329	1485
117	332	1482
118	334	1480
119	337	1476
120	339	1470
121	341	1465
122	344	1462
123	347	1459
124	350	1456
125	352	1453
126	354	1447
127	357	1443
128	360	1441
129	363	1438
130	366	1436
131	368	1433
132	372	1435
133	377	1438
134	381	1441
135	384	1440
136	386	1434
137	389	1430
138	392	1427
139	395	1426
140	398	1423
141	400	1420
142	402	1413
143	405	1409
144	408	1407
145	410	1404
146	414	1402
147	416	1400
148	418	1394
149	421	1390
150	424	1388
151	427	1386
152	430	1383
153	432	1380
154	434	1374
155	437	1372
156	440	1369
157	443	1367
158	446	1364
159	449	1361
160	451	1356
161	453	1353
162	456	1350
163	459	1348
164	462	1345
165	465	1342
166	468	1341
167	472	1341
168	477	1344
169	480	1342
170	483	1339
171	486	1338
172	490	1338
173	493	1334
174	495	1332
175	497	1327
176	500	1322
177	502	1319
178	505	1317
179	508	1314
180	511	1311
181	513	1306
182	516	1303
183	519	1301
184	521	1296
185	523	1292
186	526	1290
187	529	1287
188	532	1284
189	535	1281
190	538	1278
191	540	1275
192	543	1272
193	545	1267
194	548	1264
195	550	1261
196	552	1257
197	555	1254
198	558	1251
199	560	1247
200	562	1242
201	565	1240
202	568	1238
203	571	1235
204	574	1232
205	576	1229
206	579	1225
207	581	1222
208	584	1220
209	587	1217
210	589	1213
211	592	1209
212	594	1205
213	597	1203
214	600	1200
215	603	1198
216	606	1195
217	608	1192
218	611	1188
219	614	1186
220	617	1183
221	619	1181
222	623	1179
223	625	1174
224	627	1171
225	630	1169
226	633	1166
227	636	1163
228	639	1160
229	640	1156
230	643	1153
231	646	1151
232	649	1148
233	652	1145
234	655	1143
235	657	1139
236	660	1136
237	663	1134
238	666	1131
239	669	1129
240	671	1125
241	674	1122
242	676	1119
243	679	1117
244	682	1114
245	685	1111
246	687	1108
247	690	1105
248	693	1102
249	695	1099
250	698	1097
251	701	1094
252	703	1090
253	705	1086
254	708	1084
255	711	1081
256	714	1079
257	717	1076
258	719	1072
259	722	1069
260	725	1066
261	727	1063
262	730	1061
263	733	1058
264	736	1055
265	740	1054
266	743	1052
267	746	1050
268	750	1048
269	754	1048
270	758	1046
271	761	1043
272	764	1041
273	767	1038
274	769	1035
275	772	1032
276	775	1029
277	778	1027
278	780	1024
279	783	1020
280	785	1016
281	787	1014
282	790	1011
283	793	1009
284	796	1006
285	798	1002
286	800	998
287	803	996
288	806	993
289	809	990
290	812	988
291	814	984
292	816	981
293	819	978
294	822	975
295	824	972
296	827	969
297	830	966
298	832	962
299	834	960
300	837	957
301	841	955
302	844	952
303	846	949
304	849	946
305	852	944
306	855	941
307	858	938
308	861	936
309	863	932
310	866	930
311	869	927
312	871	924
313	874	921
314	877	919
315	879	916
316	882	913
317	885	910
318	888	908
319	891	905
320	894	902
321	896	899
322	899	896
323	902	894
324	905	891
325	908	888
326	910	885
327	913	883
328	917	881
329	921	879
330	924	877
331	927	874
332	930	872
333	935	870
334	938	868
335	940	865
336	943	862
337	946	859
338	948	856
339	951	853
340	954	850
341	956	847
342	959	844
343	962	841
344	964	839
345	967	836
346	970	833
347	973	830
348	975	827
349	978	824
350	981	821
351	984	819
352	987	816
353	988	812
354	991	809
355	994	807
356	997	804
357	1000	801
358	1003	799
359	1005	796
360	1007	792
361	1010	790
362	1013	787
363	1016	784
364	1019	781
365	1021	778
366	1024	775
367	1027	773
368	1030	770
369	1032	767
370	1035	764
371	1037	761
372	1040	758
373	1043	755
374	1045	752
375	1048	750
376	1051	747
377	1053	743
378	1056	741
379	1059	738
380	1062	735
381	1064	733
382	1067	730
383	1069	727
384	1072	724
385	1075	721
386	1078	719
387	1081	716
388	1083	713
389	1085	709
390	1087	706
391	1090	703
392	1093	701
393	1096	698
394	1099	695
395	1101	692
396	1104	689
397	1107	687
398	1109	684
399	1112	681
400	1115	678
401	1117	675
402	1120	672
